"Title","Id"
"1-WireFileFromBBForWireTool","c5fb1a80-2284-4078-901a-ac4a95bfab44"
"7-5-22 RTC Bad Addresses","edf0a544-4d31-40ba-a71a-388236e02eb3"
"Account Numbers","2ae3c04b-980a-4b44-b9c7-d0135f3bf0e6"
"Accounts Payable","e61de414-7fbc-4b36-a97d-77a710a3e989"
"ALLL","e8a53b56-466d-4d7d-a797-34ebbec851fe"
"AP - Deal","5e9b9cfe-2ffd-484d-af56-453f29c34148"
"appfiles","d480394f-4ce2-4775-aeb6-8690a084e5d7"
"Auditor Files","1306ac86-4665-4b38-8d2a-3e347bcf36af"
"Bank Forms","e0376efd-7ad2-4512-ad15-7456b67acb93"
"BDO","b8cc21de-9f08-4409-bc5c-925016b364c0"
"Bond Reports Folder","05996d3f-574c-48da-bcbd-f905d294138f"
"BSA","40acf031-6dce-43b2-a2aa-b5a3ad34b4c5"
"Compas","0c639f0f-1db3-412c-847e-d50c7c4ad870"
"Compass","56851ec5-59ea-4670-a0dd-86010e155952"
"Compliance","d0356bba-3f24-4bc9-9dc9-7ebba71a2144"
"Compliance and Risk","83590bea-d82e-47c7-8e65-85cc97d5cf9b"
"Converted Forms","8ff403ee-fe35-463f-9865-a726ddb16f17"
"Corporate File","df1ec348-241a-48c7-b65f-4391ed26ba3f"
"Corporate Governance","90ab8dbb-4af0-4724-bdbe-f7c9c29dd128"
"Corporate Taxes","dcae8f6e-01f2-41fd-b352-9aebaf078056"
"CRA","3fec7c10-7f80-40f8-ae77-fa8bc1e1c03b"
"DEPOSIT OPERATIONS","6d730faf-d187-4d05-91f8-a5ddc203ddbb"
"DEPOSIT OPERATIONS ADMIN","99d1693a-25c9-4ab9-ad0e-4beed6a9d9eb"
"Education","51179dec-f1f4-4a6a-b011-152154b537f1"
"Exams","8d5b7e74-8e5d-472f-92c2-afd0625af708"
"Exquisite Pools and Spas","4da8e1e8-e9e4-4def-8ce8-5867577a9108"
"FDIC PPP Loan Documents","2391246d-f052-4dce-a81a-2502c68194aa"
"FedReporter","8c1626af-9907-456c-b802-39a9d70c4e03"
"Finance","87d9d096-4d63-42b8-9004-1c2abaaf10f0"
"Fiserv","750c5126-71dc-4743-af5a-8e6efee78af4"
"FORGIVENESS","1f35b51f-0d06-4e28-80f6-118c7dfe1907"
"Franchise","0f86be4e-f932-4943-8ea8-64701064ab48"
"Installs","8bcab287-5cc8-459b-b555-1814d3d6c32c"
"Insurance Cert","11f7db83-4c41-4509-bb5d-a99e3a9bf55d"
"IT Department","3666c281-904d-4325-b8f9-fce2097dd83f"
"Lankford Roofing - Tanatsa Kamhunga","01069d2e-7b83-4926-b129-7f454c26657f"
"LCM","506aecd5-35b1-44ab-8beb-9d4635b2f9dc"
"Loan Administration","d8442688-ec14-4c05-b574-a68ff6766852"
"LOAN DEPT SPREADSHEETS","3af55946-0933-459d-be0f-bab2f134c09d"
"LOANS","3b6c8425-7ca0-43ac-b251-98bba01b2512"
"Loans in Process","fc9e8d5b-3659-4d4b-a300-75d960ff5e34"
"Marketing","5d090cd0-db2d-4cf2-b815-4bebdf64f2c8"
"Mobiliti","fcec39bb-cb2a-414f-8495-374089cca58e"
"nCino File Downloads","100e425b-03d0-4156-a5a3-41f3f3990916"
"nCino Tips","671643d9-0b86-40b3-95b0-07109eb68ca8"
"nCino Training Videos","79f0532a-9f0f-4f7c-afe9-363659adfaa3"
"OC","65a43975-24e4-4077-a3a4-20828506c96c"
"Online Banking Forms","c323e750-2cc2-457a-9f4b-62428a499970"
"Photos","e61fc887-aa08-4831-8f3a-dfc2a7945b0d"
"Policies","ba5c0131-61af-48d8-aec4-d2e8a7a2863a"
"Portfolio Management","521c0ee8-ffde-4585-9652-6cdb3d954cf6"
"PPP","57f03c77-d7a1-4726-8259-7e6b9e9ba5f9"
"PPP Bankruptcies","b2817ffb-e478-402f-bf4d-e68fb9db01fd"
"PPP Demand Files","4ba3f304-577b-4189-a74a-017ced69df9b"
"PPP Loan Documents","1facc893-df6c-422c-bda0-a01abfa43487"
"PPP Loan Modifications","d3f9f52f-bf14-4202-876d-0a2148e9cca8"
"PPP Moneydart Global","89918854-7e16-4ca7-8b2f-44483263f22f"
"PPP Nationswell","b19cfcfb-a62f-4797-8f52-693ee58be264"
"PPP Sun Industrial Group","f1904279-ac13-44e8-bf8a-26745963062e"
"PPP United One Solutions","6af1a32e-0242-43c0-b0eb-8ae2ad2ae074"
"Preservation Hold Library","f8ab2b28-5aa7-4470-9ed4-f2557c2fc59a"
"Reconciliations","1d9cac2f-46f5-4378-9a74-326a76d81244"
"Sageworks","cebd5b98-16ce-411d-bc2e-da417167072f"
"SAP-Concur","f6c925f2-9ada-4ccb-8fff-388fc896d1dd"
"Solution Gallery","d6609737-68af-487d-adad-db6ec7e9740d"
"Vendor Management Program","628045f0-4f50-4e4e-830f-64af46935329"
"webinar","6cf3fa68-e02c-4dd9-9e4d-076d02c20b93"
"Who to Call_Where to Find","e3b4fe42-7011-4cb4-9915-23e09f357e92"
